Nom,Tipus_Equipament,Nombre_Llars_Subministrament,Energia_Produeix_ kWh,Nom_Districte,Emissions_ Estalviades_KgCO2,Longitude,Codi_Districte,Autoconsum_Xarxa,Potencia_kWp,Any_Alta,Latitude,Adreca
CEIP Alexandre Galí (IESM Narcís Monturiol),Coberta,25,57000,Ciutat Vella,20520,2.193354756187,1,Autoconsum,45.6,2020,41.381258963407,"Passeig Marítim de la Barceloneta, 11"
HPO Solar Germanetes LLS IMHAB (Borrell),Coberta,6,14700,Eixample,5292,2.155114427840,2,Autoconsum compartit,11.76,2020,41.382787092683,"Carrer Comte Borrell, 159"
Cobega (llar social),Coberta,6,13680,Sant Martí,4925,2.187389114841,10,Autoconsum,13.68,2024,41.402932075828,"Carrer Jose Garrido Gamez, 24"
Pista poliesportiva Arístides Maillol,Coberta,43,99000,Les Corts,35640,2.121170684566,4,Connexió a xarxa,79.2,2020,41.380834433931,"Martí i Franqués, 19-21"
Escola Ítaca,Coberta,24,55313,Les Corts,19913,2.134010690552,4,Autoconsum,44.25,2020,41.388403680893,"Carrer de Numància, 140"
Edifici Multiservei Sarrià,Coberta,24,55675,Sarrià-Sant Gervasi,20043,2.122172060196,5,Autoconsum,44.54,2020,41.400094357425,Plaça de Sarrià
Casal Can Carol,Coberta,2,3500,Gràcia,1260,2.145890726893,6,Autoconsum,2.8,2020,41.412589182343,"Carrer Cambrils, 28"
Plaça de les Dones del 36. Mitgera,Parets i mitgeres,5,11160,Gràcia,4018,2.153619086028,6,Connexió a xarxa,11.16,2020,41.404788280220,Plaça de les dones del 36
CEIP Pare Poveda,Coberta,21,49413,Gràcia,17789,2.141523432446,6,Autoconsum,39.53,2020,41.417194286131,"Avinguda de Vallcarca, 220"
Casa Museu Mas Ravetllat,Coberta,3,7219,Horta-Guinardó,2599,2.170466339467,7,Autoconsum,5.78,2020,41.416034026929,Carrer del Torrent d'en Melis
